Invoice/Item Number,Date,Store Name,Address,City,Zip Code,County,Category Name,Vendor Name,Item Number,Item Description,Bottle Volume (ml),State Bottle Cost,Bottles Sold,Sale,Volume Sold (Liters)
INV-43541300088,2022-01-05,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240,JOHNSON,CANADIAN WHISKIES,HEAVEN HILL BRANDS,11776,BLACK VELVET,750.0,5.23,12,94.2,9.0
INV-43592600130,2022-01-07,HY-VEE #3 / DUBUQUE,400 LOCUST ST,DUBUQUE,52001,DUBUQUE,AMERICAN SCHNAPPS,LUXCO INC,82147,ARROW RASPBERRY SCHNAPPS,,5.0,2,15.0,2.0
INV-43544100060,2022-01-05,HY-VEE FOOD STORE #5 / CEDAR RAPIDS,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,LINN,AMERICAN DRY GINS,pernod ricard usa,32237,seagrams extra dry gin,1000.0,8.49,12,152.88,12.0
INV-43585000069,2022-01-06,HY-VEE FOOD STORE / ALTOONA,100 8TH STREET SW,ALTOONA,50009,POLK,STRAIGHT RYE WHISKIES,infinium spirits,27125,templeton rye 6yr,750.0,,6,204.78,4.5
INV-43662500067,2022-01-10,HY-VEE FOOD STORE / MUSCATINE,2400 2ND AVE,MUSCATINE,52761,MUSCATINE,TEMPORARY & SPECIALTY PACKAGES,"marussia beverages usa, inc / niche import",66015,mozart chocolate cream liqueur,750.0,14.87,2,44.62,1.5
INV-43597800051,2022-01-07,HY-VEE FOOD STORE / MARION,3600 BUSINESS HWY 151 EAST,MARION,52302,LINN,SPICED RUM,diageo americas,43244,captain morgan 100prf spiced rum,750.0,,6,94.44,4.5
INV-43605400013,2022-01-07,HY-VEE #1044 / BURLINGTON,3140 AGENCY,BURLINGTON,52601,DES MOINES,AMERICAN VODKAS,FIFTH GENERATION INC,38174,TITOS HANDMADE VODKA,375.0,,8,65.04,3.0
INV-43576700012,2022-01-06,HY-VEE FOOD STORE / CEDAR FALLS,6301 UNIVERSITY,CEDAR FALLS,50613,BLACK HAWK,STRAIGHT RYE WHISKIES,american spirits exchange,17062,bradshaw bourbon,750.0,,3,105.03,2.25
INV-43585000093,2022-01-06,HY-VEE FOOD STORE / ALTOONA,100 8TH STREET SW,ALTOONA,50009,POLK,BLENDED WHISKIES,cedar ridge vineyards ll,26710,slipknot iowa whiskey no. 9,750.0,19.5,6,175.5,4.5
INV-43629600003,2022-01-10,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240,JOHNSON,SPECIAL ORDER ITEMS,PARK STREET IMPORTS,903119,SOOH KNAPPOGUE CASTLE 12YR,750.0,18.64,6,167.76,4.5
INV-43592600039,2022-01-07,HY-VEE #3 / DUBUQUE,400 LOCUST ST,DUBUQUE,52001,DUBUQUE,WHITE RUM,LUXCO INC,45277,PARAMOUNT WHITE RUM,1000.0,4.42,12,79.56,12.0
INV-43590800112,2022-01-06,HY-VEE / WAVERLY,1311 4 STREET SW,WAVERLY,50677,BREMER,NEUTRAL GRAIN SPIRITS FLAVORED,ole smoky distillery llc,76414,ole smoky pickles moonshine,750.0,12.5,6,112.5,4.5
INV-43578300103,2022-01-06,HY-VEE FOOD AND DRUG #6 / CEDAR RAPIDS,4035 MT VERNON RD SE,CEDAR RAPIDS,52403,LINN,COCKTAILS /RTD,PROXIMO,58873,JOSE CUERVO AUTHENTIC WATERMELON MARGARITA,1750.0,8.74,6,78.66,10.5
INV-43588500087,2022-01-06,HY-VEE FOOD STORE #3 / SIOUX CITY,3301 GORDON DR,SIOUX CITY,51105,WOODBURY,AMERICAN VODKAS,E & J GALLO WINERY,36970,NEW AMSTERDAM 80PRF,1000.0,7.33,24,264.0,24.0
INV-43575900005,2022-01-06,HY-VEE FOOD STORE #3 / WATERLOO,1422 FLAMMANG DR,WATERLOO,50702,BLACK HAWK,SINGLE MALT SCOTCH,edrington group usa llc,5555,macallan double cask 12yr,750.0,34.99,2,104.98,1.5
INV-43584100094,2022-01-06,HY-VEE #2 FOOD STORE / MASON CITY,551 S ILLINOIS AVE,MASON CITY,50401,CERRO GORD,WHISKEY LIQUEUR,sazerac company  inc,100423,fireball cinnamon whiskey 100ml carrier,,6.0,24,216.0,2.4
INV-43541400019,2022-01-05,HY-VEE FOOD STORE / CORALVILLE,2004 8TH  ST,CORALVILLE,52241,JOHNSON,STRAIGHT BOURBON WHISKIES,campari america,22158,wild turkey 101,,25.0,6,225.0,10.5
INV-43605400164,2022-01-07,HY-VEE #1044 / BURLINGTON,3140 AGENCY,BURLINGTON,52601,DES MOINES,TRIPLE SEC,LUXCO INC,86251,JUAREZ TRIPLE SEC,1000.0,2.42,12,43.56,12.0
INV-43676200111,2022-01-11,HY-VEE FOOD STORE #2 / STATE ANKENY,2510 SW STATE ST,ANKENY,50023,POLK,CREAM LIQUEURS,mississippi river distil,80239,iowish cream salted caramel,,10.17,12,183.12,9.0
INV-43559200051,2022-01-05,HY-VEE FOOD STORE #1636 / SPENCER,819 N GRAND AVE,SPENCER,51301,CLAY,AMERICAN DRY GINS,e & j gallo winery,31475,new amsterdam gin,750.0,8.0,3,36.0,2.25
INV-43576700161,2022-01-06,HY-VEE FOOD STORE / CEDAR FALLS,6301 UNIVERSITY,CEDAR FALLS,50613,BLACK HAWK,COCKTAILS /RTD,jim beam brands,63347,on the rocks cocktails knob creek bourbon old fashioned,375.0,6.5,12,117.0,4.5
INV-43544100014,2022-01-05,HY-VEE FOOD STORE #5 / CEDAR RAPIDS,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,LINN,IMPORTED SCHNAPPS,diageo americas,69945,rumple minze peppermint schnapps liqueur,375.0,7.26,2,21.78,0.75
INV-43676200130,2022-01-11,HY-VEE FOOD STORE #2 / STATE ANKENY,2510 SW STATE ST,ANKENY,50023,POLK,100% AGAVE TEQUILA,park street imports,88361,cincoro anejo tequila,750.0,65.0,1,97.5,0.75
INV-43639100080,2022-01-10,HY-VEE WINE AND SPIRITS / WDM,1725  74TH ST,WEST DES MOINES,50266,POLK,CREAM LIQUEURS,MISSISSIPPI RIVER DISTIL,80239,IOWISH CREAM SALTED CARAMEL,,10.17,6,91.56,4.5
INV-43541300008,2022-01-05,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240,JOHNSON,SPICED RUM,PROXIMO,46504,KRAKEN BLACK SPICED RUM,750.0,10.45,12,188.16,9.0
INV-43580100036,2022-01-06,HY-VEE FOOD STORE / URBANDALE,8701 DOUGLAS,URBANDALE,50322,POLK,COCKTAILS /RTD,mhw ltd,57630,bols cocktails margarita azul,200.0,86.16,1,129.24,0.2
INV-43623900009,2022-01-07,HY-VEE FOOD STORE / WEBSTER CITY,823  2ND ST,WEBSTER CITY,50595,HAMILTON,WHITE RUM,BACARDI USA INC,43124,BACARDI SUPERIOR,375.0,4.5,3,20.25,1.12
INV-43544100029,2022-01-05,HY-VEE FOOD STORE #5 / CEDAR RAPIDS,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,LINN,AMERICAN SCHNAPPS,jim beam brands,82847,dekuyper luscious peachtree,1000.0,7.87,12,141.72,12.0
INV-43654300015,2022-01-10,HY-VEE WINE AND SPIRITS / STORM LAKE,1250 N LAKE ST,STORM LAKE,50588,BUENA VIST,STRAIGHT BOURBON WHISKIES,heaven hill brands,17956,evan williams black,750.0,8.5,2,25.5,1.5
INV-43541400012,2022-01-05,HY-VEE FOOD STORE / CORALVILLE,2004 8TH  ST,CORALVILLE,52241,JOHNSON,AMERICAN SCHNAPPS,luxco inc,81208,paramount peppermint schnapps,1750.0,7.5,12,135.0,21.0
INV-43576700093,2022-01-06,HY-VEE FOOD STORE / CEDAR FALLS,6301 UNIVERSITY,CEDAR FALLS,50613,BLACK HAWK,AMERICAN VODKAS,e & j gallo winery,39466,new amsterdam 100prf,750.0,8.5,3,38.25,2.25
INV-43551500004,2022-01-05,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807,SCOTT,IMPORTED CORDIALS & LIQUEURS,CAMPARI AMERICA,64636,CAMPARI ITALIAN APERITIVO,750.0,16.5,12,297.0,9.0
INV-43588500154,2022-01-06,HY-VEE FOOD STORE #3 / SIOUX CITY,3301 GORDON DR,SIOUX CITY,51105,WOODBURY,COCKTAILS /RTD,PROXIMO,59161,1800 ULTIMATE PEACH MARGARITA PET,1750.0,10.04,1,15.06,1.75
INV-43629800036,2022-01-10,HY-VEE FOOD STORE / CORALVILLE,2004 8TH  ST,CORALVILLE,52241,JOHNSON,STRAIGHT BOURBON WHISKIES,jim beam brands,19471,makers mark mini,50.0,16.8,10,252.0,0.5
INV-43555700024,2022-01-05,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,1745 MADISON AVE,COUNCIL BLUFFS,51503,POTTAWATTA,AMERICAN VODKAS,sazerac company  inc,36974,nikolai vodka,375.0,1.71,8,20.56,3.0
INV-43588500208,2022-01-06,HY-VEE FOOD STORE #3 / SIOUX CITY,3301 GORDON DR,SIOUX CITY,51105,WOODBURY,AMERICAN SCHNAPPS,SAZERAC COMPANY  INC,84207,99 ROOT BEER MINI,50.0,5.16,2,15.48,0.1
INV-43616500023,2022-01-07,HY-VEE FOOD STORE #1 / OTTUMWA,1025 NORTH QUINCY AVE,OTTUMWA,52501,WAPELLO,AMERICAN DRY GINS,SAZERAC COMPANY  INC,30056,FLEISCHMANNS GIN,750.0,3.0,12,54.0,9.0
INV-43592500062,2022-01-07,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001,DUBUQUE,AMERICAN FLAVORED VODKA,e & j gallo winery,39725,new amsterdam lemon,750.0,7.5,6,67.5,4.5
INV-43632900080,2022-01-10,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POLK,100% AGAVE TEQUILA,DIAGEO AMERICAS,88833,CASAMIGOS ANEJO,750.0,31.5,6,283.5,4.5
INV-43543900020,2022-01-05,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,LINN,TEMPORARY & SPECIALTY PACKAGES,cedar ridge vineyards ll,25177,cedar ridge bottled in bond rye whiskey,750.0,25.0,6,225.0,4.5
INV-43554800060,2022-01-05,HY-VEE FOOD STORE / KEOKUK,3111 MAIN,KEOKUK,52632,LEE,CANADIAN WHISKIES,diageo americas,10808,crown royal regal apple,1000.0,19.39,24,698.16,24.0
INV-43605400123,2022-01-07,HY-VEE #1044 / BURLINGTON,3140 AGENCY,BURLINGTON,52601,DES MOINES,BLENDED WHISKIES,LAIRD & COMPANY,23827,FIVE STAR,1000.0,4.4,12,79.2,12.0
INV-43578300096,2022-01-06,HY-VEE FOOD AND DRUG #6 / CEDAR RAPIDS,4035 MT VERNON RD SE,CEDAR RAPIDS,52403,LINN,AMERICAN BRANDIES,LUXCO INC,55084,PARAMOUNT BLACKBERRY BRANDY,375.0,3.55,2,10.66,0.75
