Invoice/Item Number,Date,Store Name,Address,City,Zip Code,County,Category Name,Vendor Name,Item Number,Item Description,Bottle Volume (ml),State Bottle Cost,Bottles Sold,Sale,Volume Sold (Liters)
INV-43744600028,2022-01-12,HY-VEE FOOD STORE #1636 / SPENCER,819 N GRAND AVE,SPENCER,51301,CLAY,STRAIGHT BOURBON WHISKIES,jim beam brands,19070,jim beam pet,1750.0,21.5,6,193.5,10.5
INV-43470800055,2022-01-03,HY-VEE FOOD STORE #3 / DES MOINES,3221 SE 14TH ST,DES MOINES,50315,POLK,AMERICAN BRANDIES,e & j gallo winery,52596,e & j vs,750.0,6.5,12,117.0,9.0
INV-43763700076,2022-01-13,HY-VEE / WAVERLY,1311 4 STREET SW,WAVERLY,50677,BREMER,AMERICAN DRY GINS,luxco inc,31657,paramount gin,1000.0,4.3,2,12.9,2.0
INV-43753300123,2022-01-13,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POLK,100% AGAVE TEQUILA,E & J GALLO WINERY,87643,FAMILIA CAMARENA SILVER,750.0,12.5,12,225.0,9.0
INV-43592500105,2022-01-07,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001,DUBUQUE,CREAM LIQUEURS,e & j gallo winery,73051,rumchata mini,50.0,8.87,6,79.86,0.3
INV-43534900146,2022-01-05,HY-VEE  #2 / AMES,640 LINCOLNWAY,AMES,50010,STORY,TRIPLE SEC,LUXCO INC,86506,PARAMOUNT TRIPLE SEC,750.0,3.42,12,61.56,9.0
INV-43525200004,2022-01-04,HY-VEE WINE AND SPIRITS / WATERLOO,2126 KIMBALL AVE,WATERLOO,50701,BLACK HAWK,AMERICAN SCHNAPPS,sazerac company  inc,84226,99 strawberries mini,50.0,5.16,10,77.4,0.5
INV-43555700114,2022-01-05,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,1745 MADISON AVE,COUNCIL BLUFFS,51503,POTTAWATTA,FLAVORED RUM,jim beam brands,44499,cruzan mango,750.0,7.0,6,63.0,4.5
INV-43735600136,2022-01-12,HY-VEE FOOD STORE #5 / CEDAR RAPIDS,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,LINN,STRAIGHT BOURBON WHISKIES,four roses distillery,18352,four roses bourbon,750.0,,12,225.0,9.0
INV-43549900011,2022-01-05,HY-VEE WINE & SPIRITS #2 / DAVENPORT,3301 W KIMBERLY RD,DAVENPORT,52804,SCOTT,MIXTO TEQUILA,LUXCO INC,89387,JUAREZ GOLD,,7.83,24,282.0,24.0
INV-43537400012,2022-01-05,HY-VEE #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,POLK,CREAM LIQUEURS,E & J GALLO WINERY,73052,RUMCHATA,,,2,24.0,0.75
INV-43844200093,2022-01-17,HY-VEE WINE AND SPIRITS / STORM LAKE,1250 N LAKE ST,STORM LAKE,50588,BUENA VIST,AMERICAN BRANDIES,sazerac company  inc,56793,paul masson apple grande amber brandy,750.0,6.41,2,19.24,1.5
INV-43735400014,2022-01-12,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,LINN,IMPORTED VODKAS,bacardi usa inc,34423,grey goose,375.0,8.5,3,38.25,1.12
INV-43721600003,2022-01-12,HY-VEE FOOD STORE #1 / AMES,3800 W LINCOLN WAY,AMES,50010,STORY,SINGLE MALT SCOTCH,PERNOD RICARD USA,5037,GLENLIVET 12YR,1000.0,30.48,4,182.88,4.0
INV-43827600040,2022-01-17,HY-VEE FOOD STORE / FLEUR / DSM,4605 FLEUR DRIVE,DES MOINES,50321,POLK,COCKTAILS /RTD,mhw ltd,67075,twisted shotz sex on the beach,1800.0,54.18,1,81.27,1.8
INV-43745900057,2022-01-12,HY-VEE WINE AND SPIRITS / SPIRIT LAKE,HWY 9 & 71,SPIRIT LAKE,51360,DICKINSON,AMERICAN CORDIALS & LIQUEUR,luxco inc,79026,arrow creme de menthe green,750.0,,4,28.44,3.0
INV-43827300068,2022-01-17,HY-VEE FOOD STORE #5 / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315,POLK,BLENDED WHISKIES,jim beam brands,25878,sunny brook blend whiskey,1750.0,8.0,18,216.0,31.5
INV-43725600013,2022-01-12,HY-VEE FOOD STORE / IOWA CITY,1125 N DODGE ST,IOWA CITY,52240,JOHNSON,WHITE RUM,jim beam brands,44516,cruzan light,750.0,,4,42.0,3.0
INV-43696000037,2022-01-11,HY-VEE FOOD STORE / CARROLL,905 US HIGHWAY 30 WEST,CARROLL,51401,CARROLL,IMPORTED VODKAS,pernod ricard usa,34007,absolut swedish vodka 80prf,,14.99,12,269.88,12.0
INV-43757400003,2022-01-13,HY-VEE FOOD STORE #3 / WATERLOO,1422 FLAMMANG DR,WATERLOO,50702,BLACK HAWK,CANADIAN WHISKIES,diageo americas,11298,crown royal,1750.0,32.99,6,296.94,10.5
INV-43771500001,2022-01-13,HY-VEE #2 FOOD STORE / MASON CITY,551 S ILLINOIS AVE,MASON CITY,50401,CERRO GORD,IRISH WHISKIES,pernod ricard usa,915860,ha redbreast 15yr,750.0,99.94,1,149.91,0.75
INV-43736800069,2022-01-12,HY-VEE DRUGSTORE #5 / CEDAR RAPIDS,2001 BLAIRS FERRY ROAD NE,CEDAR RAPIDS,52402,LINN,AMERICAN FLAVORED VODKA,DIAGEO AMERICAS,77847,SMIRNOFF VANILLA,750.0,8.25,12,148.56,9.0
INV-43839100044,2022-01-17,HY-VEE WINE & SPIRITS #2 / DAVENPORT,3301 W KIMBERLY RD,DAVENPORT,52804,SCOTT,SPICED RUM,LUXCO INC,44658,LADY BLIGH SPICED RUM,1750.0,10.0,6,90.0,10.5
INV-43763700029,2022-01-13,HY-VEE / WAVERLY,1311 4 STREET SW,WAVERLY,50677,BREMER,AMERICAN FLAVORED VODKA,e & j gallo winery,40599,new amsterdam red berry,750.0,7.5,12,135.0,9.0
INV-43744600147,2022-01-12,HY-VEE FOOD STORE #1636 / SPENCER,819 N GRAND AVE,SPENCER,51301,CLAY,MEZCAL,sazerac company  inc,89566,monte alban mezcal,750.0,13.26,2,39.78,1.5
INV-43725200002,2022-01-12,HY-VEE #2 / CORALVILLE,3285 CROSSPARK RD,CORALVILLE,52241,JOHNSON,COCKTAILS /RTD,JIM BEAM BRANDS,63321,ON THE ROCKS COCKTAILS HORNITOS MARGARITA,375.0,6.5,24,234.0,9.0
INV-43839100019,2022-01-17,HY-VEE WINE & SPIRITS #2 / DAVENPORT,3301 W KIMBERLY RD,DAVENPORT,52804,SCOTT,STRAIGHT RYE WHISKIES,JIM BEAM BRANDS,27048,KNOB CREEK RYE,750.0,21.0,6,189.0,4.5
INV-43781500013,2022-01-14,HY-VEE FOOD STORE / MARION,3600 BUSINESS HWY 151 EAST,MARION,52302,LINN,CANADIAN WHISKIES,sazerac company  inc,12404,canadian ltd whisky,375.0,2.05,12,36.96,4.5
INV-43775000062,2022-01-13,HY-VEE FOOD STORE / ALTOONA,100 8TH STREET SW,ALTOONA,50009,POLK,MEZCAL,mhw ltd,87481,dos hombres mezcal,750.0,32.5,6,292.5,4.5
INV-43895600001,2022-01-18,HY-VEE WINE AND SPIRITS / WATERLOO,2126 KIMBALL AVE,WATERLOO,50701,BLACK HAWK,SCOTCH WHISKIES,william grant & sons inc,5159,glenfiddich 14yr,750.0,29.0,2,87.0,1.5
INV-43912600056,2022-01-19,HY-VEE FOOD AND DRUG / GRAND / WDM,1990 GRAND AVENUE,WEST DES MOINES,50265,POLK,100% AGAVE TEQUILA,PROXIMO,89207,1800 REPOSADO,1000.0,18.0,6,162.0,6.0
INV-43735600033,2022-01-12,HY-VEE FOOD STORE #5 / CEDAR RAPIDS,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,LINN,CREAM LIQUEURS,diageo americas,74086,godiva dark chocolate liqueur,,17.0,5,127.5,3.75
INV-43939000083,2022-01-19,HY-VEE FOOD STORE #1636 / SPENCER,819 N GRAND AVE,SPENCER,51301,CLAY,COCKTAILS /RTD,proximo,58838,jose cuervo authentic lime margarita,1750.0,8.74,6,78.66,10.5
INV-43839100002,2022-01-17,HY-VEE WINE & SPIRITS #2 / DAVENPORT,3301 W KIMBERLY RD,DAVENPORT,52804,SCOTT,WHITE RUM,SAZERAC COMPANY  INC,45217,MR BOSTON LIGHT RUM,,3.93,12,70.8,12.0
INV-43912300081,2022-01-19,HY-VEE #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,POLK,AMERICAN SCHNAPPS,JIM BEAM BRANDS,82636,DEKUYPER GRAPE PUCKER,,6.5,4,39.0,3.0
INV-43876700051,2022-01-18,HY-VEE #5 / DAVENPORT,2351 W LOCUST,DAVENPORT,52804,SCOTT,MIXTO TEQUILA,luxco inc,87936,juarez silver,750.0,7.5,12,135.0,9.0
INV-43942700103,2022-01-19,HY-VEE WINE AND SPIRITS / PELLA,512 E OSKALOOSA,PELLA,50219,MARION,AMERICAN VODKAS,diageo americas,37991,smirnoff 80prf mini,50.0,7.47,1,11.21,0.05
INV-43940200074,2022-01-19,HY-VEE WINE AND SPIRITS / SPIRIT LAKE,HWY 9 & 71,SPIRIT LAKE,51360,DICKINSON,WHITE RUM,serralles usa,43426,don q cristal,750.0,7.5,2,22.5,1.5
INV-43821400015,2022-01-14,HY-VEE FORT DODGE WINE AND SPIRITS,1511 2ND AVE NORTH,FORT DODGE,50501,WEBSTER,STRAIGHT BOURBON WHISKIES,CAMPARI AMERICA,22156,WILD TURKEY 101,750.0,14.0,6,126.0,4.5
INV-43786000049,2022-01-14,HY-VEE #2 / DUBUQUE,2395 NW ARTERIAL RD,DUBUQUE,52002,DUBUQUE,WHISKEY LIQUEUR,SAZERAC COMPANY  INC,64863,FIREBALL CINNAMON WHISKEY,200.0,2.5,6,22.5,1.2
INV-43721600124,2022-01-12,HY-VEE FOOD STORE #1 / AMES,3800 W LINCOLN WAY,AMES,50010,STORY,AMERICAN CORDIALS & LIQUEUR,LUXCO INC,79336,PARAMOUNT CREME DE MENTHE GREEN,750.0,5.0,2,15.0,1.5
INV-43471000039,2022-01-03,HY-VEE FOOD STORE #5 / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315,POLK,100% AGAVE TEQUILA,jim beam brands,89836,hornitos reposado,750.0,13.5,12,243.0,9.0
INV-43472100105,2022-01-03,HY-VEE FOOD STORE #3 / CEDAR RAPIDS,20 WILSON AVENUE WEST,CEDAR RAPIDS,52404,LINN,AMERICAN VODKAS,sazerac company  inc,37935,skol vodka pet,750.0,3.64,12,65.52,9.0
INV-43486500068,2022-01-03,HY-VEE #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,POLK,IMPORTED FLAVORED VODKA,JIM BEAM BRANDS,36468,EFFEN BLOOD ORANGE,750.0,12.5,6,112.5,4.5
INV-43827000053,2022-01-17,HY-VEE FOOD STORE #3 / DES MOINES,3221 SE 14TH ST,DES MOINES,50315,POLK,TEMPORARY & SPECIALTY PACKAGES,diageo americas,64339,ciroc pomegranate,750.0,16.49,12,296.88,9.0
INV-43783600049,2022-01-14,HY-VEE WINE AND SPIRITS / BOONE,1111  8TH ST,BOONE,50036,BOONE,AMERICAN VODKAS,phillips beverage,37336,uv vodka,750.0,7.0,12,126.0,9.0
INV-43470400016,2022-01-03,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POLK,STRAIGHT BOURBON WHISKIES,JIM BEAM BRANDS,19067,JIM BEAM,1000.0,13.0,48,936.0,48.0
INV-43742700046,2022-01-12,HY-VEE FOOD STORE / KEOKUK,3111 MAIN,KEOKUK,52632,LEE,STRAIGHT BOURBON WHISKIES,jim beam brands,27780,jim beam apple mini,50.0,7.0,12,126.0,0.6
INV-43744600063,2022-01-12,HY-VEE FOOD STORE #1636 / SPENCER,819 N GRAND AVE,SPENCER,51301,CLAY,AMERICAN FLAVORED VODKA,e & j gallo winery,39422,new amsterdam pink whitney mini,50.0,4.61,2,13.84,0.1
INV-43471100037,2022-01-03,HY-VEE FOOD STORE / FLEUR / DSM,4605 FLEUR DRIVE,DES MOINES,50321,POLK,STRAIGHT BOURBON WHISKIES,heaven hill brands,17956,evan williams black,750.0,8.5,12,153.0,9.0
INV-43766100015,2022-01-13,HY-VEE FOOD AND DRUG #6 / CEDAR RAPIDS,4035 MT VERNON RD SE,CEDAR RAPIDS,52403,LINN,CREAM LIQUEURS,DIAGEO AMERICAS,74086,GODIVA DARK CHOCOLATE LIQUEUR,,17.0,1,25.5,0.75
INV-43471100025,2022-01-03,HY-VEE FOOD STORE / FLEUR / DSM,4605 FLEUR DRIVE,DES MOINES,50321,POLK,WHITE RUM,luxco inc,45278,paramount white rum,1750.0,7.5,6,67.5,10.5
INV-43735600045,2022-01-12,HY-VEE FOOD STORE #5 / CEDAR RAPIDS,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402a,LINN,BLENDED WHISKIES,dunkel corporation / iowa distilling,27629,prairie fire,750.0,9.09,2,27.28,1.5
INV-43470400014,2022-01-03,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POLK,CANADIAN WHISKIES,HEAVEN HILL BRANDS,11777,BLACK VELVET,1000.0,6.63,9,89.55,9.0
INV-43769900031,2022-01-13,HY-VEE FOOD STORE #1 / MASON CITY,2400 4TH ST SW,MASON CITY,50401,CERRO GORD,BLENDED WHISKIES,diageo americas,27751,seagrams 7 crown orchard apple,750.0,7.0,2,21.0,1.5
INV-43766100030,2022-01-13,HY-VEE FOOD AND DRUG #6 / CEDAR RAPIDS,4035 MT VERNON RD SE,CEDAR RAPIDS,52403,LINN,COCKTAILS /RTD,LUXCO INC,63530,SALVADORS ORIGINAL MARGARITA PET,1750.0,,6,54.0,10.5
INV-43501900221,2022-01-04,HY-VEE WINE AND SPIRITS / BETTENDORF,2890 DEVILS GLEN ROAD,BETTENDORF,52722,SCOTT,IMPORTED VODKAS,russian standard vodka,35109,russian standard original vodka,750.0,9.43,2,28.3,1.5
INV-43471100034,2022-01-03,HY-VEE FOOD STORE / FLEUR / DSM,4605 FLEUR DRIVE,DES MOINES,50321,POLK,STRAIGHT BOURBON WHISKIES,jim beam brands,19026,jim beam black,750.0,14.0,12,252.0,9.0
INV-43771600019,2022-01-13,HY-VEE #2 FOOD STORE / MASON CITY,551 S ILLINOIS AVE,MASON CITY,50401,CERRO GORD,STRAIGHT BOURBON WHISKIES,heaven hill brands,17958,evan williams black,,16.5,6,148.5,10.5
INV-43753300014,2022-01-13,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POLK,STRAIGHT BOURBON WHISKIES,JIM BEAM BRANDS,19067,JIM BEAM,1000.0,13.0,48,936.0,48.0
INV-43470800063,2022-01-03,HY-VEE FOOD STORE #3 / DES MOINES,3221 SE 14TH ST,DES MOINES,50315,POLK,COCKTAILS /RTD,proximo,59163,1800 ultimate watermelon margarita pet,1750.0,10.04,6,90.36,10.5
INV-43483600203,2022-01-03,HY-VEE FOOD STORE / MUSCATINE,2400 2ND AVE,MUSCATINE,52761,MUSCATINE,100% AGAVE TEQUILA,"mast-jagermeister us, inc",88372,teremana reposado tequila,750.0,16.43,6,147.9,4.5
INV-43518800117,2022-01-04,HY-VEE FOOD STORE / CARROLL,905 US HIGHWAY 30 WEST,CARROLL,51401,CARROLL,IRISH WHISKIES,william grant & sons inc,15913,tullamore dew xo rum cask,750.0,17.0,2,51.0,1.5
INV-43725600044,2022-01-12,HY-VEE FOOD STORE / IOWA CITY,1125 N DODGE ST,IOWA CITY,52240,JOHNSON,AMERICAN BRANDIES,cedar ridge vineyards ll,53645,cedar ridge fruit brandy,750.0,20.0,6,180.0,4.5
INV-43471100016,2022-01-03,HY-VEE FOOD STORE / FLEUR / DSM,4605 FLEUR DRIVE,DES MOINES,50321,POLK,AMERICAN VODKAS,mccormick distilling co.,36908,mccormick 80prf vodka pet,1750.0,7.47,6,67.26,10.5
INV-43781500055,2022-01-14,HY-VEE FOOD STORE / MARION,3600 BUSINESS HWY 151 EAST,MARION,52302,LINN,NEUTRAL GRAIN SPIRITS FLAVORED,ole smoky distillery llc,86843,ole smoky salty caramel whiskey,750.0,11.0,6,99.0,4.5
INV-43736900007,2022-01-12,HY-VEE DRUGSTORE #5 / CEDAR RAPIDS,2001 BLAIRS FERRY ROAD NE,CEDAR RAPIDS,52402,LINN,SINGLE MALT SCOTCH,BACARDI USA INC,4000,ABERFELDY 12YR,750.0,24.0,6,216.0,4.5
INV-43851500008,2022-01-17,HY-VEE FOOD AND DRUG / CLINTON,901 SOUTH 4TH ST,CLINTON,52732,CLINTON,BOTTLED IN BOND BOURBON,heaven hill brands,16096,evan williams bottled in bond,750.0,10.0,6,90.0,4.5
INV-43472000010,2022-01-03,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,LINN,CANADIAN WHISKIES,phillips beverage,14518,revel stoke peanut butter whisky mini,50.0,,1,6.9,0.05
INV-43737500001,2022-01-12,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,1745 MADISON AVE,COUNCIL BLUFFS,51503,POTTAWATTA,FLAVORED RUM,sugarlands distilling company llc,977232,sooh sugarlands mark & diggers hazelnut rum,750.0,13.52,6,121.68,4.5
INV-43483600067,2022-01-03,HY-VEE FOOD STORE / MUSCATINE,2400 2ND AVE,MUSCATINE,52761,MUSCATINE,AMERICAN FLAVORED VODKA,black rock spirits,35527,bakon,750.0,15.0,2,45.0,1.5
INV-43696000099,2022-01-11,HY-VEE FOOD STORE / CARROLL,905 US HIGHWAY 30 WEST,CARROLL,51401,CARROLL,WHITE RUM,bacardi usa inc,43387,castillo silver rum,1000.0,5.25,36,283.68,36.0
INV-43735600071,2022-01-12,HY-VEE FOOD STORE #5 / CEDAR RAPIDS,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,LINN,AMERICAN VODKAS,mccormick distilling co.,36904,mccormick 80prf vodka pet,375.0,1.8,24,64.8,9.0
INV-43500600056,2022-01-04,HY-VEE / WAUKEE,1005 E HICKMAN RD,WAUKEE,50263,DALLAS,AMERICAN FLAVORED VODKA,DIAGEO AMERICAS,77858,SMIRNOFF WHIPPED CREAM,750.0,8.25,12,148.56,9.0
INV-43502100163,2022-01-04,HY-VEE #5 / DAVENPORT,2351 W LOCUST,DAVENPORT,52804,SCOTT,AMERICAN SCHNAPPS,sazerac company  inc,84172,99 bananas mini,50.0,5.16,3,23.22,0.15
INV-43786800120,2022-01-14,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001,DUBUQUE,AMERICAN SCHNAPPS,jim beam brands,82787,dekuyper buttershots,,7.87,12,141.72,12.0
INV-43471000072,2022-01-03,HY-VEE FOOD STORE #5 / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315,POLK,IMPORTED BRANDIES,remy cointreau usa inc,49189,remy martin vsop,200.0,7.41,24,266.88,4.8
INV-43724200034,2022-01-12,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240,JOHNSON,MIXTO TEQUILA,PROXIMO,87409,JOSE CUERVO ESPECIAL SILVER,,13.5,12,243.0,12.0
INV-43469700024,2022-01-03,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807,SCOTT,IMPORTED FLAVORED VODKA,DIAGEO AMERICAS,64418,CIROC SUMMER WATERMELON,750.0,16.49,2,49.48,1.5
INV-43775000032,2022-01-13,HY-VEE FOOD STORE / ALTOONA,100 8TH STREET SW,ALTOONA,50009,POLK,COCKTAILS /RTD,sazerac company  inc,57148,chi-chi's margarita,1750.0,6.5,12,117.0,21.0
INV-43471000047,2022-01-03,HY-VEE FOOD STORE #5 / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315,POLK,AMERICAN BRANDIES,e & j gallo winery,52598,e & j vs,1750.0,,6,117.0,10.5
INV-43763700057,2022-01-13,HY-VEE / WAVERLY,1311 4 STREET SW,WAVERLY,50677,BREMER,STRAIGHT BOURBON WHISKIES,sazerac company  inc,17830,early times 36 mo ky str bourbon pet,1750.0,13.22,6,118.98,10.5
INV-43725600042,2022-01-12,HY-VEE FOOD STORE / IOWA CITY,1125 N DODGE ST,IOWA CITY,52240,JOHNSON,TEMPORARY & SPECIALTY PACKAGES,jim beam brands,86103,dekuyper triple sec 30� pet,1000.0,2.33,4,14.0,4.0
INV-43778900093,2022-01-13,HY-VEE FOOD STORE #3 / SIOUX CITY,3301 GORDON DR,SIOUX CITY,51105,WOODBURY,AMERICAN VODKAS,E & J GALLO WINERY,39466,NEW AMSTERDAM 100PRF,750.0,8.5,1,12.75,0.75
INV-43472100023,2022-01-03,HY-VEE FOOD STORE #3 / CEDAR RAPIDS,20 WILSON AVENUE WEST,CEDAR RAPIDS,52404,LINN,IRISH WHISKIES,william grant & sons inc,15940,tullamore dew,,15.5,4,93.0,3.0
INV-43490800086,2022-01-03,HY-VEE WINE AND SPIRITS / STORM LAKE,1250 N LAKE ST,STORM LAKE,50588,BUENA VIST,AMERICAN SCHNAPPS,sazerac company  inc,80826,ice 101 peppermint schnapps,750.0,9.5,1,14.25,0.75
INV-43506400082,2022-01-04,HY-VEE FOOD STORE / MARSHALLTOWN,802 SOUTH CENTER,MARSHALLTOWN,50158,MARSHALL,AMERICAN FLAVORED VODKA,mccormick distilling co.,941467,sooh 360 sorrento lemon,,7.5,6,67.5,4.5
INV-43737500058,2022-01-12,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,1745 MADISON AVE,COUNCIL BLUFFS,51503,POTTAWATTA,AMERICAN BRANDIES,sazerac company  inc,56196,paul masson peach grande amber brandy,750.0,6.41,12,115.44,9.0
INV-43469600046,2022-01-03,HY-VEE FOOD STORE / CORALVILLE,2004 8TH  ST,CORALVILLE,52241,JOHNSON,CANADIAN WHISKIES,diageo americas,11297,crown royal,1000.0,19.39,24,698.16,24.0
INV-43472100115,2022-01-03,HY-VEE FOOD STORE #3 / CEDAR RAPIDS,20 WILSON AVENUE WEST,CEDAR RAPIDS,52404,LINN,100% AGAVE TEQUILA,jim beam brands,89836,hornitos reposado,750.0,13.5,6,121.5,4.5
INV-43501900064,2022-01-04,HY-VEE WINE AND SPIRITS / BETTENDORF,2890 DEVILS GLEN ROAD,BETTENDORF,52722,SCOTT,100% AGAVE TEQUILA,luxco inc,89178,el mayor anejo,750.0,16.0,6,144.0,4.5
INV-43753400009,2022-01-13,HY-VEE FOOD STORE #3 / DES MOINES,3221 SE 14TH ST,DES MOINES,50315,POLK,SCOTCH WHISKIES,diageo americas,5318,johnnie walker double black,750.0,24.05,6,216.48,4.5
INV-43470400036,2022-01-03,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POLK,AMERICAN FLAVORED VODKA,HEAVEN HILL BRANDS,39922,DEEP EDDY PEACH,,8.5,12,153.0,9.0
INV-43487000051,2022-01-03,HY-VEE WINE AND SPIRITS / WDM,1725  74TH ST,WEST DES MOINES,50266,POLK,STRAIGHT BOURBON WHISKIES,FOUR ROSES DISTILLERY,18348,FOUR ROSES SMALL BATCH,750.0,17.5,6,157.5,4.5
INV-43472100002,2022-01-03,HY-VEE FOOD STORE #3 / CEDAR RAPIDS,20 WILSON AVENUE WEST,CEDAR RAPIDS,52404,LINN,COCKTAILS /RTD,sazerac company  inc,57125,chi-chi's gold margarita,1750.0,6.5,6,58.5,10.5
INV-43724400061,2022-01-12,HY-VEE FOOD STORE / CORALVILLE,2004 8TH  ST,CORALVILLE,52241,JOHNSON,AMERICAN SCHNAPPS,jim beam brands,82847,dekuyper luscious peachtree,1000.0,7.87,12,141.72,12.0
INV-43537000064,2022-01-05,HY-VEE / WINDSOR HEIGHTS,7101 UNIVERSITY AVE,WINDSOR HEIGHTS,50311,POLK,CANADIAN WHISKIES,diageo americas,11296,crown royal,750.0,16.59,12,298.68,9.0
INV-43771600031,2022-01-13,HY-VEE #2 FOOD STORE / MASON CITY,551 S ILLINOIS AVE,MASON CITY,50401,CERRO GORD,AMERICAN BRANDIES,luxco inc,54448,paramount apricot brandy,1750.0,11.29,6,101.64,10.5
INV-43734000032,2022-01-12,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,1823 E KIMBERLY RD,DAVENPORT,52807,SCOTT,AMERICAN CORDIALS & LIQUEUR,LUXCO INC,79026,ARROW CREME DE MENTHE GREEN,750.0,,12,85.32,9.0
INV-43775000081,2022-01-13,HY-VEE FOOD STORE / ALTOONA,100 8TH STREET SW,ALTOONA,50009,POLK,100% AGAVE TEQUILA,jim beam brands,88540,hornitos lime shot,750.0,13.5,12,243.0,9.0
INV-43479900021,2022-01-03,HY-VEE WINE & SPIRITS #2 / DAVENPORT,3301 W KIMBERLY RD,DAVENPORT,52804,SCOTT,CANADIAN WHISKIES,HEAVEN HILL BRANDS,11788,BLACK VELVET,1750.0,,6,94.08,10.5
INV-43495700190,2022-01-03,HY-VEE FOOD AND DRUG / CLINTON,901 SOUTH 4TH ST,CLINTON,52732,CLINTON,WHISKEY LIQUEUR,heaven hill brands,27454,cinerator,750.0,8.0,3,36.0,2.25
INV-43757400087,2022-01-13,HY-VEE FOOD STORE #3 / WATERLOO,1422 FLAMMANG DR,WATERLOO,50702,BLACK HAWK,AMERICAN BRANDIES,e & j gallo winery,52582,e & j vsop,750.0,7.24,1,10.86,0.75
INV-43469500021,2022-01-03,HY-VEE WINE AND SPIRITS / IOWA CITY,1720 WATERFRONT DR,IOWA CITY,52240,JOHNSON,IMPORTED VODKAS,DIAGEO AMERICAS,34457,KETEL ONE,,15.16,24,545.76,24.0
INV-43830400043,2022-01-17,HY-VEE #7 / CEDAR RAPIDS,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,LINN,AMERICAN FLAVORED VODKA,heaven hill brands,39922,deep eddy peach,,8.5,6,76.5,4.5
INV-43518800080,2022-01-04,HY-VEE FOOD STORE / CARROLL,905 US HIGHWAY 30 WEST,CARROLL,51401,CARROLL,COCKTAILS /RTD,proximo,59154,1800 ultimate margarita pet,1750.0,10.04,6,90.36,10.5
INV-43786000041,2022-01-14,HY-VEE #2 / DUBUQUE,2395 NW ARTERIAL RD,DUBUQUE,52002,DUBUQUE,AMERICAN BRANDIES,LUXCO INC,54056,ARROW APRICOT BRANDY,750.0,5.5,12,99.0,9.0
INV-43472100101,2022-01-03,HY-VEE FOOD STORE #3 / CEDAR RAPIDS,20 WILSON AVENUE WEST,CEDAR RAPIDS,52404,LINN,AMERICAN VODKAS,sazerac company  inc,36978,nikolai vodka,1750.0,6.92,6,62.28,10.5
INV-43470400028,2022-01-03,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POLK,IMPORTED FLAVORED VODKA,JIM BEAM BRANDS,36468,EFFEN BLOOD ORANGE,750.0,12.5,6,112.5,4.5
INV-43793900082,2022-01-14,HY-VEE #1044 / BURLINGTON,3140 AGENCY,BURLINGTON,52601,DES MOINES,AMERICAN SCHNAPPS,JIM BEAM BRANDS,82846,DEKUYPER LUSCIOUS PEACHTREE,750.0,6.5,6,58.5,4.5
INV-43758100078,2022-01-13,HY-VEE FOOD STORE / CEDAR FALLS,6301 UNIVERSITY,CEDAR FALLS,50613,BLACK HAWK,AMERICAN FLAVORED VODKA,heaven hill brands,40055,deep eddy lemon,1750.0,14.5,3,65.25,5.25
INV-43470400052,2022-01-03,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POLK,WHITE RUM,BACARDI USA INC,43387,CASTILLO SILVER RUM,1000.0,5.25,24,189.12,24.0
